parent_asin,brand,days_to_success,brand_reputation_score,BRS_Category,early_review_count,review_count
B07KB42KN6,VIJIV,433,75.18,Very Good (70-80),4,21
B07WC1CT8T,SANNYRA,449,53.28,Fair (<60),74,92
B07XQQL4HT,Amazon Essentials,421,66.82,Good (60-70),6,15
B08125M1KL,BELILENT,618,66.16,Good (60-70),3,31
B085PWGBNG,Havana Breeze,323,48.71,Fair (<60),20,29
B087LXDKNG,ililily,417,72.08,Very Good (70-80),2,20
B087P32XQG,Under Armour,612,66.78,Good (60-70),1,65
B08BP6WLC6,Frank Mully,639,65.73,Good (60-70),1,31
B08CKDW32C,NICEWIN,670,65.32,Good (60-70),4,11
B08DVBMTF1,Fruit of the Loom,657,65.86,Good (60-70),3,15
B08F58X6LZ,Ldurian,278,47.54,Fair (<60),13,38
B08H38QX2Y,Hanes,672,65.42,Good (60-70),3,61
B08LPBCQJ2,Hicomlor,271,46.64,Fair (<60),16,35
B08N4K1QWL,Ldurian,100,47.54,Fair (<60),31,53
B08S6WS4F3,Telena,521,70.36,Very Good (70-80),1,20
B08XBMVNSZ,Acelitt,584,68.94,Good (60-70),1,22
B091F2NFNR,misaya,601,69.33,Good (60-70),1,12
B092TMJ9N7,Biucly,663,64.28,Good (60-70),7,43
B0943Y5LJ1,Scarlet Darkness,707,63.74,Good (60-70),4,70
B094959B97,UOTJCNR,545,68.93,Good (60-70),3,14
B094SS9VK9,CUSHIONAIRE,575,69.26,Good (60-70),4,57
B0987LNSBZ,AlvaQ,511,68.85,Good (60-70),1,14
B098LG9FX1,YOUNGCHARM,509,93.9,Excellent (80+),3,43
B099N2H2K4,Dofaoo,505,65.33,Good (60-70),3,45
B09BQXWZMV,HOUSE OF WEAVES,628,48.41,Fair (<60),20,26
B09CTY33C9,LILLUSORY,450,63.42,Good (60-70),8,33
B09CZF1PDR,CUSHIONAIRE,549,69.26,Good (60-70),1,20
B09DS5ZMZ2,Cosonsen,418,64.28,Good (60-70),4,30
B09GY6SG2C,FitsT4 Sports,460,70.16,Very Good (70-80),8,52
B09JGD586S,Tommy Hilfiger,576,56.68,Fair (<60),19,33
B09JLD24TC,Dearfoams,570,62.54,Good (60-70),1,10
B09M7VTQ7D,BeadChica,588,67.27,Good (60-70),1,14
B09MJZ35G4,BALEAF,490,69.56,Good (60-70),4,11
B09NSMX8NW,PRETTYGARDEN,311,67.22,Good (60-70),2,10
B09XX5QJJQ,KEEN,426,67.73,Good (60-70),2,12
B0BD4LD4MB,BRONAX,523,67.08,Good (60-70),1,72
B0BT2R7T7Q,Fruit of the Loom,517,65.86,Good (60-70),3,28
B0BZWF3BVS,Fruit of the Loom,531,65.86,Good (60-70),4,93
B0C5Y7N1LM,Fruit of the Loom,540,65.86,Good (60-70),3,66
